"word_from","ar","de","es","fr","it","ja","ko","pt"
"✓ If you are looking for an affordable housing option","✓ إذا كنت تبحث عن خيار السكن بأسعار معقولة","✓ Wenn Du nach kostengünstiger Unterkunft suchst","✓ Si quieres buscar una opción de alojamiento asequible","✓ Qui cherchent une option de logement abordable","✓ Chi è alla ricerca di un'opzione di alloggio conveniente","✓ 手頃な住宅オプションを探している学生","✓ 저렴한 하우징 옵션을 찾고 있는 사람들","✓ Para quem procura uma opção de moradia acessível"
"✓ If you are looking for luxury facilities","","","✓ Si estás buscando instalaciones de lujo","","","","",""
"✓ If you are under 18 years old","✓ إذا كان عمرك أقل من 18 عامًا","✓ Schüler unter 18 Jahre","✓ Si tienes menos de 18 años","✓ Étudiants de moins de 18 ans","✓ Studenti minorenni (sotto i 18 anni)","✓ 18歳以下の学生","✓ 18세 미만의 학생들","✓ Estudantes menores de 18 anos"
"✓ If you don‘t mind living in a small room","","","✓ Si no te importa vivir en una habitación pequeña","","","","",""
"✓ If you don‘t mind sleeping in a sleeping pod","","","✓ Si no te importa dormir en una cápsula dormitorio","","","","",""
"✓ If you don‘t mind taking the bus to school","✓ إذا كنت لا تمانع في ركوب الحافلة إلى المدرسة","✓ Wen es Dich nicht stört öffentliche Verkehrsmittel zu nutzen","✓ Si no te importa ir en bus a la escuela","✓ Qui n'ont pas d'objection à prendre le bus pour aller à l'ésole","✓ Chi non ha problemi a prendere l'autobus per la scuola","✓ 学校までバスで通学することを厭わない学生","✓ 학교까지 버스를 타는 것을 꺼리지 않는 학생들","✓ Quem não se importa de pegar ônibus para a escola"
"✓ If you prefer a private apartment","","","✓ Si prefieres un apartamento privado","","","","",""
"✓ If you want to be able to walk to school","","","✓ Si quieres poder ir andando a la escuela","","","","",""
"✓ If you want to benefit from amenities such as pooland fitness room","✓ إذا كنت ترغب في الاستفادة من وسائل الراحة مثل حمام السباحة وغرفة اللياقة البدنية","✓ Wenn Du den Outdoor-Pool und Fitnessraum vor Ort genießen möchtest?","✓ Si quieres disfrutar de servicios como piscina y gimnasio","✓ Qui souhaitent bénéficier des équipements tels que la piscine et la salle de fitness","✓ Chi vuole usufruire di servizi come piscina e sala fitness","✓ プールやフィットネスルーム等のアメニティを得たい学生","✓ 수영장과 피트니스 룸과 같은 시설을 활용하고 싶은 학생들","✓ Para quem quer aproveitar comodidades como piscinae sala de ginástica"
"✓ If you want to experience the fun, beach lifestyle and convenience of living in Downtown Santa Monica","","","✓ Si quieres disfrutar del estilo de vida y la conveniencia de vivir en Downtown Santa Monica","","","","",""
"✓ If you want to interact with other tenants as much as possible","✓ إذا كنت ترغب في التفاعل مع المستأجرين الآخرين قدر الإمكان","✓ Wer möchte so viel wie möglich mit einheimischen Nachbarn interagieren?","✓ Si quieres interactuar con otros inquilinos tanto como sea posible","✓ Qui veulent interagir avec les autres locataires autant que possible","✓ Chi desidera interagire il più possibile con gli altri inquilini","✓ 可能な限り他の住居者と交流したい学生","✓ 다른 세입자들과 최대한 상호작용하고 싶은 학생들","✓ Para quem deseja interagir com outros inquilinos"
"✓ If you want to live centrally","✓ إذا كنت ترغب في العيش في وسط المدينة","✓ Wenn du zentral wohnen möchtest","✓ Si quieres vivir en el centro","✓ Si tu souhaites vivre au centre","✓ Se vuoi vivere in centro","✓ 中心部に住みたいなら","✓ 중심부에 살고 싶다면","✓ Se você quer viver no centro"
"✓ If you want to live close to the beach","","","✓ si quieres vivir cerca de la playa","","","","",""
"✓ If you want to live close to the school","✓ إذا كنت تريد أن تعيش بالقرب من المدرسة","✓ Wenn du in der Nähe der Schule wohnen möchtest","✓ Si quieres vivir cerca de la escuela","✓ Si tu veux habiter près de l'école","✓ Se vuoi vivere vicino alla scuola","✓ 学校の近くに住みたいなら","","✓ Se você quer morar perto da escola"
"✓ If you want to live in a top notch apartment managed by CEL","","","✓ Si quieres vivir en un apartamento de alto standard gestionado por CEL","","","","",""
"✓ If you want to live independently","✓ إذا كنت ترغب في العيش بشكل مستقل","✓ Wenn du unabhängig leben möchtest","✓ Si quieres vivir de manera independiente","✓ Si tu veux vivre de façon indépendante","✓ Se vuoi vivere in modo indipendente","✓ 自立して生活したいなら","✓ 독립적으로 살고 싶다면","✓ Se você quer viver de forma independente"
"✓ If you want to live independently and make the most of Downtown Vancouver","✓ إذا كنت تريد أن تعيش بشكل مستقل وتستمتع بأقصى استفادة من وسط مدينة فانكوفر","✓ Wenn du unabhängig leben und das Leben in Downtown optimal genießen möchtest","✓ Si quieres vivir de forma independiente y aprovechar al máximo el centro de Vancouver","✓ Si tu veux vivre de façon indépendante et profiter au maximum du centre-ville de Vancouver","✓ Se vuoi vivere in modo indipendente e sfruttare al meglio il centro di Vancouver","✓ 自分らしく暮らし、バンクーバーのダウンタウンを最大限に楽しみたいなら","✓ 독립적으로 생활하며 밴쿠버 다운타운을 최대한 즐기고 싶다면","✓ Se você quer viver de forma independente e aproveitar ao máximo o centro de Vancouver"
"✓ If you want to live with an American family","✓ إذا كنت تريد العيش مع عائلة أمريكية","✓ Wenn Du in einer amerikanischen Gastfamilie leben möchtest","✓ si quieres vivir en una familia americana","✓ Qui souhaitent vivre avec une famille américaine","✓ Chi desidera vivere con una famiglia americana","✓ アメリカの家族と一緒に住みたい学生","✓ 미국 가족과 함께 생활하고 싶은 학생들","✓ Para quem deseja viver com uma família americana"
"✓ If you want to live with an Canadian family","✓ إذا كنت تريد العيش مع عائلة أمريكية","✓ Wenn Du in einer kanadischen Gastfamilie leben möchtest","✓ Si quieres vivir con una familia canadiense","✓ Qui souhaitent vivre avec une famille canadienne","✓ Chi desidera vivere con una famiglia canadese","✓ カナダ人の家族と一緒に住みたい場合は","✓ 캐나다 가족과 함꼐 생활하고 싶은 학생들","✓ Para quem deseja viver com uma família canadense"
"✓ If you want to practice English every day with other students and with native speakers","✓ إذا كنت تريد ممارسة الإنجليزية يوميًا مع طلاب آخرين ومع متحدثين أصليين","✓ Wenn du jeden Tag Englisch mit anderen Schülern und Muttersprachlern sprechen möchtest","✓ Si quieres practicar inglés todos los días con otros estudiantes y con hablantes nativos","✓ Si tu veux pratiquer l'anglais tous les jours avec d'autres étudiants et avec des locuteurs natifs","✓ Se vuoi praticare l'inglese ogni giorno con altri studenti e con madrelingua","✓ 他の学生やネイティブスピーカーと毎日英語を練習したいなら","✓ 다른 학생들과 원어민과 함께 매일 영어를 연습하고 싶다면","✓ Se você quer praticar inglês todos os dias com outros estudantes e com falantes nativos"
"✓ If you want to practice English every daywith native speakers","✓ إذا كنت ترغب في ممارسة اللغة الإنجليزية كل يوم مع الناطقين بها","✓ Wenn Du Dein Englisch mit Muttersprachlern verbessern möchtest?","✓ si quieres practicar inglés cada día con hablantes nativos","✓ Qui veulent pratiquer l'anglais tous les jours avec des locuteurs natifs","✓ Chi vuole esercitarsi con l'inglese ogni giorno con madrelingua","✓ ネイティブスピーカーと毎日英語を練習したい学生","✓ 네이티브 스피커와 매일 영어를 연습하고 싶은 학생들","✓ Para quem quer praticar o inglês todos os dias com nativos"
"✓ If you want to practice your English daily with native speakers","✓ إذا كنت ترغب في ممارسة اللغة الإنجليزية كل يوم مع الناطقين بها","✓ Wenn Du Dein Englisch mit Muttersprachlern verbessern möchtest?","✓ Si quieres practicar inglés cada dia con un hablante nativo","✓ Qui veulent pratiquer l'anglais tous les jours avec des locuteurs natifs","✓ Chi vuole esercitarsi con l'inglese ogni giorno con madrelingua","✓ ネイティブスピーカーと毎日英語を練習したい学生","✓ 네이티브 스피커와 매일 영어를 연습하고 싶은 학생들","✓ Para quem quer praticar o inglês todos os dias com nativos"
"✓ If you want to share an apartment with other students","","","✓ Si quieres compartir un apartamento con otros estudiantes","","","","",""
"✓ Large fully equipped kitchen","","","✓ Cocina totalmente equipada grande","","","","",""
"✓ Large living room to share with other tenants","","","✓ Sala de estar para compartir con otros inquilinos","","","","",""
"✓ Laundry can be done at most homestays","✓ يمكن إجراء الغسيل في معظم أماكن الإقامة مع العائلات","✓ Wäsche kann in den meisten Gastfamilien gewaschen werden","✓ La colada se puede hacer en la mayoría de familias anfitrionas","✓ La lessive peut être effectuée dans la plupart des familles d'accueil","✓ Lavanderia disponibile presso la maggior parte delle famiglie ospitanti","✓ ほとんどのホームステイで洗濯が可能","✓ 대부분의 홈스테이에서 세탁이 가능","✓ É possível lavar roupas na maioria das casas de família"
"✓ Linen are provided","✓ يتم توفير البياضات","✓ Bettwäsche wird bereitgestellt","✓ Se proporciona ropa de cama","✓ Le linge de lit est fourni","✓ La biancheria è fornita","✓ リネンは提供されています","✓ 린넨이 제공됩니다","✓ Roupa de cama fornecida"
"✓ Living Room","✓ غرفة المعيشة","✓ Wohnzimmer","✓ Sala de estar","✓ Salon","✓ Soggiorno","✓ リビングルーム","✓ 거실","✓ Sala de estar"
"✓ Living room, Balcony, TV","✓ غرفة معيشة، شرفة، تلفزيون","✓ Wohnzimmer, Balkon, Fernseher","✓ Sala de estar, balcón y televisión","✓ Salon, balcon, télévision","✓ Soggiorno, balcone, TV","✓ リビング、バルコニー、TV","✓ 거실, 발코니, TV","✓ Sala, varanda e TV"
"✓ Located in Venice","✓ تقع في البندقية","✓ In Venice Beach gelegen","✓ Situado en Venice Beach","✓ Situé à Venice","✓ Situato a Venice","✓ ベニスに位置する","✓ 베니스에 위치","✓ Localizado em Venice"
"✓ Lockers available","","","✓ Taquillas disponibles","","","","",""
"✓ Luxury Hostel Style Accommodation","✓ إقامة فاخرة على طراز نزل","✓ Hostel im Luxusstil","✓ Alojamiento estilo albergue de lujo","✓ Hébergement de style auberge de luxe","✓ Sistemazione in stile ostello di lusso","✓ 豪華なホステルスタイルの予約","✓ 고급 호스텔 스타일 숙소","✓ Acomodação estilo hostel de luxo"
"✓ Managed by CEL","","","✓ Gestionado por CEL","","","","",""
"✓ Maximum distance to CEL: 35 minutes by public transportation","✓ الحد الأقصى لوقت السفر بالمواصلات العامة إلى CEL هو 35 دقيقة","✓ Maximal 35 min mit öffentlichen Verkehrsmitteln zu CEL","✓ El tiempo máximo de traslado de CEL es 35 min en bus","✓ Le temps de trajet maximal en transports en commun jusqu'au CEL est de 35 minutes","✓ Distanza massima dal CEL: 35 minuti con mezzi pubblici","✓ CELまでの最大距離:公共交通機関で35分","✓ CEL까지의 최대 거리: 대중교통으로 35분","✓ Distância máxima para a CEL: 35 minutos de transporte público"
"✓ Maximum distance to CEL: 75 minutes by public transportation","✓ الحد الأقصى لوقت السفر بالمواصلات العامة إلى CEL هو 75 دقيقة","✓ Maximal 75 min mit öffentlichen Verkehrsmitteln zu CEL","✓ Distancia máxima de CEL: 75 minutos en transporte público","✓ Le temps de trajet maximal en transports en commun jusqu'au CEL est de 75 minutes","✓ Distanza massima dal CEL: 75 minuti con mezzi pubblici","✓ CELまでの最大距離:公共交通機関で75分","✓ CEL까지 최대 거리: 대중교통 이용 시 75분","✓ Distância máxima para a CEL: 75 minutos de transporte público"
"✓ Minimum age is 16 years","✓ الحد الأدنى للعمر هو 16 سنة","✓ Ab 16 Jahre","✓ Edad mínima: 16 años","✓ Âge minimum : 16 ans","✓ Età minima: 16 anni","✓ 最少年齢:16歳","✓ 최소 연령: 16세","✓ Idade mínima: 16 anos"
"✓ Minimum age is 17 years","✓ الحد الأدنى للعمر هو 17 سنة","✓ Ab 17 Jahre","✓ Edad mínima: 17 años","✓ Âge minimum : 17 ans","✓ Età minima: 17 anni","✓ 最少年齢:17歳","✓ 최소 연령: 17세","✓ Idade mínima: 17 anos"
"✓ Minimum age is 18 years","✓ الحد الأدنى للعمر هو 18 سنة","✓ Ab 18 Jahren","✓ Edad mínima: 18 años","✓ Âge minimum : 18 ans","✓ Età minima: 18 anni","✓ 最少年齢:18歳","✓ 최소 연령: 18세","✓ Idade mínima: 18 anos"
"✓ Minimum age is 19 years","✓ الحد الأدنى للعمر هو 19 سنة","✓ Ab 19 Jahren","✓ Edad mínima: 19 años","✓ Âge minimum : 19 ans","✓ Età minima: 19 anni","✓ 最少年齢:19歳","✓ 최소 연령: 19세","✓ Idade mínima: 19 anos"
"✓ Minimum duration is 1 week","✓ الحد الأدنى للمدة هو أسبوع واحد","✓ 1 Woche Minimum","✓ Duración mínima: 1 semana","✓ Durée minimale : 1 semaine","✓ Durata minima: 1 settimana","✓ 最短期間:1週間","✓ 최소 기간: 1주","✓ Duração mínima: 1 semana"
"✓ Minimum duration is 1 week (2 weeks during high season)","✓ الحد الأدنى للمدة هو أسبوع واحد","✓ 1 Woche Minimum (2 Wochen in der Hochsaison)","✓ Duración mínima: 1 semana (2 en temporada alta)","✓ Durée minimale : 1 semaine","✓ Durata minima: 1 settimana","✓ 最短期間:1週間","✓ 최소 기간: 1주","✓ Duração mínima: 1 semana"
"✓ Minimum duration is 13 weeks","✓ الحد الأدنى للمدة هو 13 أسابيع","✓ 13 Wochen Minimum","✓ Duración mínima: 13 semanas","✓ Durée minimale : 13 semaines","✓ Durata minima: 13 settimane","✓ 最短期間:13週間","✓ 최소 기간: 13주","✓ Duração mínima: 13 semanas"
"✓ Minimum duration is 2 weeks","✓ الحد الأدنى للمدة هو 2 أسابيع","✓ 2 Wochen Minimum","✓ Duración mínima: 2 semanas","✓ Durée minimale : 2 semaines","✓ Durata minima: 2 settimane","✓ 最短期間:2週間","✓ 최소 기간: 2주","✓ Duração mínima: 2 semanas"
"✓ Minimum duration is 3 weeks","✓ الحد الأدنى للمدة هو 3 أسابيع","✓ 3 Wochen Minimum","✓ Duración mínima: 3 semanas","✓ Durée minimale : 3 semaines","✓ Durata minima: 3 settimane","✓ 最短期間:3週間","✓ 최소 기간: 3주","✓ Duração mínima: 3 semanas"
"✓ Minimum duration is 4 weeks","✓ الحد الأدنى للمدة هو 4 أسابيع","✓ 4 Wochen Minimum","✓ Duración mínima: 4 semanas","✓ Durée minimale : 4 semaines","✓ Durata minima: 4 settimane","✓ 最短期間:4週間","✓ 최소 기간: 4주","✓ Duração mínima: 4 semanas"
"✓ Mixed Gender Apartments","✓ شقق مختلطة بين الجنسين","✓ Apartments ohne Geschlechtertrennung","✓ Apartamentos de género mixto","✓ Appartements mixtes","✓ Appartamenti misti (uomini e donne)","✓ 男女混合で利用のマンション","✓ 혼성 성별 아파트","✓ Apartamentos mistos"
"✓ Mixed gender Student House","","","✓ Student House con género mixto","","","","",""
"✓ Most Families offer free Wi-Fi","✓ توفر معظم العائلات خدمة الواي فاي المجانية","✓ Fast alle Familien bieten kostenloses WLAN","✓ La mayoría de familias ofrecen Wifi gratis","✓ La plupart des familles offrent le Wi-Fi gratuit","✓ La maggior parte delle famiglie offre Wi-Fi gratuito","✓ ほとんどの家族がfree Wi-Fi有り","✓ 대부분의 호스트 가족들은 무료 Wi-Fi를 제공","✓ A maioria das famílias oferece Wi-Fi gratuito"
"✓ No cleaning provided during stay (cleaning equipment is provided)","✓ لا يتم توفير خدمة التنظيف أثناء الإقامة (يتم توفير معدات التنظيف)","✓ Keine Reinigung während des Aufenthalts (Reinigungsutensilien werden bereitgestellt)","✓ No se ofrece limpieza durante la estancia (se proporcionan equipos de limpieza)","✓ Aucun service de ménage n'est fourni pendant le séjour (le matériel de nettoyage est fourni)","✓ Nessuna pulizia fornita durante il soggiorno (vengono forniti gli strumenti per la pulizia)","✓ 滞在中は清掃サービスはありません（清掃用具は提供されています）","✓ 체류 중 청소 서비스는 제공되지 않습니다 (청소 도구는 제공됩니다)","✓ Não há limpeza fornecida durante a estadia (equipamentos de limpeza são fornecidos)"
"✓ No common space besides kitchen","","","","","","","✓ 주방 외 공용 공간 없음",""
"✓ No security deposit required","✓ لا يوجد إيداع ضمان مطلوب","✓ Keine Kaution erforderlich","✓ No se requiere depósito de seguridad","✓ Aucun dépôt de garantie requis","✓ Nessun deposito cauzionale richiesto","✓ 保証金なし","✓ 보증금 없음","✓ Não é necessário depósito de segurança"
"✓ Outdoor Area with BBQ","✓ منطقة خارجية مع مرافق للشواء","✓ Aussenbereich mit Grill","✓ Zona exterior con barbacoa","✓ Espace extérieur avec barbecue","✓ Area esterna con barbecue","✓ バーベキュー可能な野外エリア","✓ 바비큐장이 있는 야외 영역","✓ Área externa com churrasqueira"
"✓ Outdoor patio","","","✓ Patio exterior","","","","",""
"✓ Outdoor pool (Summer only)","✓ مسبح خارجي (فقط في الصيف)","✓ Außenpool (nur im Sommer)","✓ Piscina al aire libre (solo en verano)","✓ Piscine extérieure (été uniquement)","✓ Piscina all'aperto (solo in estate)","✓ 屋外プール（夏季限定）","✓ 야외 수영장 (여름 한정)","✓ Piscina ao ar livre (apenas no verão)"
"✓ Parking ($)","","✓ Parkplatz buchbar gegen Aufpreis","","","","","✓ 주차(유료)",""
"✓ Parking (available upon request $)","","✓ Parkplatz buchbar gegen Aufpreis","✓ Parking (preguntar por disponibilidad $)","","","","",""
"✓ Parking (currently at $150 per month)","✓ مواقف السيارات (حاليًا بسعر 150 دولارًا شهريًا)","✓ Parkplatz buchbar (aktuell 150$ pro Monat)","✓ Parking (actualmente $150 por mes)","✓ Stationnement (actuellement à 150$ par mois)","✓ Parcheggio (attualmente a $150 al mese)","✓ パーキング(現在 月$150)","✓ 주차장 (현재 월 $150)","✓ Estacionamento (atualmente em US$ 150 por mês)"
"✓ Private balcony","✓ شرفة خاصة","✓ Privater Balkon","✓ Balcón privado","✓ Balcon privé","✓ Balcone privato","✓ 専用バルコニー","✓ 전용 발코니","✓ Varanda privativa"
"✓ Private bathroom","✓ حمام خاص لكل غرفة نوم","✓ Eigenes Badezimmer","✓ Baño privado","✓ Salle de bain privée","✓ Bagno privato","✓ 各寝室にプライベートバスルーム付き","✓ 침실당 개인 욕실","✓ Banheiro privativo"
"✓ Private bathroom (Studio)","✓ حمام خاص (استوديو)","✓ Privates Badezimmer (Studio)","✓ Baño privado (estudio)","✓ Salle de bain privée (studio)","✓ Bagno privato (monolocale)","✓ 専用バスルーム（スタジオ）","✓ 개인 욕실 (스튜디오)","✓ Banheiro privativo (estúdio)"
"✓ Private bathroom (for single room only) available at a surcharge","✓ حمام خاص (للغرفة الفردية فقط) متوفر مقابل رسوم إضافية","✓ Eigenes Badezimmer (nur für Einzelzimmer) gegen Aufpreis verfügbar","✓ Baño privado (solo para habitación individual) disponible con un cargo adicional","✓ Salle de bain privée (uniquement pour chambre individuelle) disponible avec un supplément","✓ Bagno privato (solo per camera singola) disponibile con un supplemento","✓ プライベートバスルーム（シングルルームのみ）は追加料金で利用可能です","✓ 개인 욕실(싱글룸 전용) 추가 요금으로 이용 가능","✓ Banheiro privativo (apenas para quarto individual) disponível por uma taxa adicional"
"✓ Private bathroom available at a surcharge ($100/week) - limited availability","✓ يتوفر حمام خاص مقابل تكلفة إضافية (100 دولار في الأسبوع) - توفر محدود","✓ Eigenes Badezimmer buchbar mit Aufpreis ($100/Woche) - begrenzte Verfügbarkeit","✓ Baño privado disponible con cargo extra ($100/semana) disponibilidad limitada","✓ Salle de bain privée disponible moyennant un supplément (100 $ par semaine) - disponibilité limitée","✓ Bagno privato disponibile con un supplemento ($100/settimana) - disponibilità limitata","✓ プライベートバスルーム付きを希望の場合は追加料金($100/週)-数量限定","✓ 개인 욕실은 추가 요금이 발생 ($100/주) - 예약 제한 있음","✓ Banheiro privativo disponível por um custo adicional (US$ 100/semana) - disponibilidade limitada"
"✓ Queen size bed (not available with 2 twin beds)","","","✓ Camas queen size (no disponible en dos camas individuales)","","","","",""
"✓ Refundable security deposit: $300 (credit card recommended)","✓ مبلغ تأمين قابل للاسترداد: 300 دولار (يوصى باستخدام بطاقة الائتمان)","✓ 300 CAD Kaution, Kreditkartenzahlung empfohlen","✓ Depósito de seguridad de $300 reembolsable (tarjeta de crédito recomendada)","✓ Dépôt de garantie remboursable : 300 $","✓ Deposito cauzionale rimborsabile: $300 (si consiglia la carta di credito)","✓ 返金可能な保証金:$300 (クレジットカード推奨)","✓ 보증금: $300 (환불 가능, 신용카드 권장)","✓ Depósito reembolsável: $300"
"✓ Refundable security deposit: $500 (credit card recommended)","✓ مبلغ تأمين قابل للاسترداد: 500 دولار (يوصى باستخدام بطاقة الائتمان)","✓ 500 CAD Kaution, Kreditkartenzahlung empfohlen","✓ Depósito de seguridad de $500 reembolsable (tarjeta de crédito recomendada)","✓ Dépôt de garantie remboursable : 500$","✓ Deposito cauzionale rimborsabile: $500 (si consiglia la carta di credito)","✓ 返金可能な保証金:$500 (クレジットカード推奨)","✓ 보증금: $500 (환불 가능, 신용카드 권장)","✓ Depósito reembolsável: $500"
"✓ Refundable security deposit: $600 (credit card recommended)","✓ مبلغ تأمين قابل للاسترداد: 600 دولار (يوصى باستخدام بطاقة الائتمان)","✓ 600 CAD Kaution, Kreditkartenzahlung empfohlen","✓ Depósito de seguridad de $600 reembolsable (tarjeta de crédito recomendada)","✓ Dépôt de garantie remboursable : 600$","✓ Deposito cauzionale rimborsabile: $600 (si consiglia la carta di credito)","✓ 返金可能な保証金:$600 (クレジットカード推奨)","✓ 보증금: $600 (환불 가능, 신용카드 권장)","✓ Depósito reembolsável: $600"
"✓ Rooftop terrace with BBQ area","✓ تراس على السطح مع منطقة شواء","✓ Dachterrasse mit Grillbereich","✓ Terraza en la azotea con área de barbacoa","✓ Terrasse sur le toit avec espace barbecue","✓ Terrazza sul tetto con area barbecue","✓ 屋上テラスとバーベキューエリア","✓ 루프탑 테라스와 바비큐 공간","✓ Terraço na cobertura com área de churrasqueira"
"✓ Self-catering","✓ الاعتماد على النفس فى تجهيز الوجبات","✓ Ohne Verpflegung","✓ Autoservicio","✓ Sans restauration","","✓ 自炊","✓ 셀프 케이터링","✓ auto atendimento"
"✓ Shared Laundry Facilities ($)","✓ مرافق غسيل الملابس المشتركة ($)","✓ Kostenpflichtige Wäscheräume vorhanden","✓ Servicio de lavandería compartida($)","✓ Installations de blanchisserie partagées (payantes)","✓ Lavanderia in comune a pagamento","✓ 共用の洗濯施設($)","✓ 공용 세탁 시설 ($)","✓ Lavanderia compartilhada ($)"
"✓ Shared bathroom","","✓ Geteiltes Badezimmer","✓ Baño compartido","✓ Salle de bain partagée","✓ Bagno in comune","✓ シェアバスルーム","✓ 공용 욕실","✓ Banheiro compartilhado"
"✓ Shared bathroom (single and twin rooms)","✓ حمام مشترك (للغرف الفردية والمزدوجة)","✓ Gemeinschaftsbad (Einzel- und Zweibettzimmer)","✓ Baño compartido (habitaciones individuales y twin)","✓ Salle de bain partagée (chambres individuelles et jumelles)","✓ Bagno condiviso (camere singole e doppie)","✓ 共用バスルーム（シングルルームおよびツインルーム）","✓ 공용 욕실 (싱글룸 및 트윈룸)","✓ Banheiro compartilhado (quartos individuais e duplos)"
"✓ Si quieres practicar inglés cada dia con un hablante nativo","✓ إذا كنت ترغب في ممارسة اللغة الإنجليزية كل يوم مع الناطقين بها","✓ Wenn Du Dein Englisch mit Muttersprachlern verbessern möchtest?","✓ que quieren practicar inglés cada día con hablantes nativos","✓ Qui veulent pratiquer l'anglais tous les jours avec des locuteurs natifs","✓ Chi vuole esercitarsi con l'inglese ogni giorno con madrelingua","✓ ネイティブスピーカーと毎日英語を練習したい学生","✓ 네이티브 스피커와 매일 영어를 연습하고 싶은 학생들","✓ Para quem quer praticar o inglês todos os dias com nativos"
"✓ Single and double rooms","✓ غرفة فردية و مزدوجة","✓ Einzel- und Doppelzimmer","✓ Habitaciones individuales y dobles","✓ Chambres individuelles et doubles","✓ Stanze singole e doppie","✓ シングルルーム、ダブルルーム","✓ 싱글 및 더블 객실","✓ Quartos individuais e duplos"
"✓ Single and twin rooms","✓ غرف مفردة وتوأم","✓ Einzel- und Zweibettzimmer","✓ Habitaciones individuales y twin","✓ Chambres individuelles et jumelles","✓ Stanze singole e doppie","✓ シングルルーム、ツインルーム","✓ 싱글 및 트윈 객실","✓ Quartos individuais e compartilhados"
"✓ Single rooms","✓ غرفة فردية و مزدوجة","✓ Einzelzimmer","✓ Habitaciones individuales","✓ Chambres individuelles","✓ Stanze singole","✓ シングルルーム","✓ 싱글 객실","✓ Quartos individuais"
"✓ Single, semi-private, twin rooms","✓ غرف فردية، شبه خاصة، مزدوجة","✓ Einzel-, halbprivate und Zweibettzimmer","✓ Habitaciones individuales, semiprivadas y dobles","✓ Chambres individuelles, semi-privées et jumelles","✓ Camere singole, semi-private e doppie","✓ シングルルーム、セミプライベートルーム、ツインルーム","✓ 싱글룸, 세미프라이빗룸, 트윈룸","✓ Quartos individuais, semi-privativos e duplos"
"✓ Single, semi-private, twin rooms and studios","✓ غرف فردية، شبه خاصة، مزدوجة، واستوديوهات","✓ Einzel-, halbprivate, Zweibettzimmer und Studios","✓ Habitaciones individuales, semiprivadas, dobles y estudios","✓ Chambres individuelles, semi-privées, doubles et studios","✓ Camere singole, semi-private, doppie e monolocali","✓ シングルルーム、セミプライベートルーム、ツインルーム、スタジオ","✓ 싱글룸, 세미프라이빗룸, 트윈룸, 스튜디오","✓ Quartos individuais, semiprivativos, duplos e estúdios"
"✓ Single, twin and quad rooms","","✓ Einzel- , Zweibett- und Vierbettzimmer","✓ Habitaciones individuales, twin y cuádruples","","","","✓ 싱글 및 트윈 객실",""
"✓ Small Roof Top Terrace","✓ تراس صغير على السطح","✓ Kleine Dachterrasse","✓ Pequeña terraza en la azotea","✓ Petite terrasse sur le toit","✓ Piccola terrazza sul tetto","✓ 小さい屋上テラス","✓ 작은 옥상 테라스","✓ Pequeno terraço na cobertura"
"✓ Small fitness room","✓ غرفة لياقة بدنية صغيرة","✓ Kleiner Fitnessraum","✓ Gimnasio pequeño","✓ Petite salle de fitness","✓ Piccola sala fitness","✓ 小さなフィットネスルーム","✓ 소형 피트니스 룸","✓ Pequena sala de ginástica"
"✓ Small kitchen with stove and microwave","✓ مطبخ صغير مع موقد وميكروويف","✓ Kleine Küche mit Herd und Mikrowelle","✓ Pequeña cocina con estufa y microondas","✓ Petite cuisine avec cuisinière et micro-ondes","✓ Piccola cucina con fornello e microonde","✓ コンロと電子レンジ付きの小さなキッチン","✓ 작은 주방 (스토브와 전자레인지 포함)","✓ Pequena cozinha com fogão e micro-ondas"
"✓ Small studio (16 square meters)","✓ استوديو صغير (16 متر مربع)","✓ Kleines Studio (16 Quadratmeter)","✓ Pequeño estudio (16 metros cuadrados)","✓ Petit studio (16 mètres carrés)","✓ Piccolo studio (16 metri quadrati)","✓ 小さなスタジオ（16平方メートル）","✓ 작은 스튜디오 (16 제곱미터)","✓ Pequeno estúdio (16 metros quadrados)"
"✓ Students aged 17+","✓ الطلاب الذين تبلغ أعمارهم 17 عامًا فما فوق","✓ Schüler ab 17 Jahren","✓ Estudiantes mayores de 17 años","✓ Étudiants âgés de 17 ans et plus","✓ Studenti di età pari o superiore a 17 anni","✓ 17歳以上の学生","✓ 17세 이상의 학생","✓ Estudantes com 17 anos ou mais"
"✓ Students aged 18+","✓ الطلاب الذين تبلغ أعمارهم 18 عامًا فما فوق","✓ Schüler ab 18 Jahren","✓ Estudiantes mayores de 18 años","✓ Étudiants âgés de 18 ans et plus","✓ Studenti di età pari o superiore a 18 anni","✓ 18歳以上の学生","✓ 18세 이상의 학생","✓ Estudantes com 18 anos ou mais"
"✓ Students aged 19+","✓ الطلاب الذين تبلغ أعمارهم 19 عامًا فما فوق","✓ Schüler ab 19 Jahren","✓ Estudiantes mayores de 19 años","✓ Étudiants âgés de 19 ans et plus","✓ Studenti di età pari o superiore a 19 anni","✓ 19歳以上の学生","✓ 19세 이상의 학생","✓ Estudantes com 19 anos ou mais"
"✓ Studio (max. 2 people)","","","✓ Estudio (máx. 2 personas)","","","","",""
